0 0 0
0.005 0 0
0.01 0 0
0.015 0 0
0.02 0 0
0.025 0 0
0.03 0 0
0.035 0 0
0.04 0 0
0.045 0 0
0.05 0 0
0.055 0 0
0.06 0 0
0.065 0 0
0.07 0 0
0.075 0 0
0.08 0 0
0.085 0 0
0.09 0 0
0.095 0 0
0.1 0 0
0.105 0 0
0.11 0 0
0.115 0 0
0.12 0 0
0.125 0 0
0.13 0 0
0.135 0 0
0.14 0 0
0.145 0 0
0.15 0 0
0.155 0 0
0.16 0 0
0.165 0 0
0.17 0 0
0.175 0 0
0.18 0 0
0.185 0 0
0.19 0 0
0.195 0 0
0.2 0 0
0.205 0 0
0.21 0 0
0.215 0 0
0.22 0 0
0.225 0 0
0.23 0 0
0.235 0 0
0.24 0 0
0.245 0 0
0.25 0 0
0.255 0 0
0.26 0 0
0.265 0 0
0.27 0 0
0.275 0 0
0.28 0 0
0.285 0 0
0.29 0 0
0.295 0 0
0.3 0 0
0.305 0 0
0.31 0 0
0.315 0 0
0.32 0 0
0.325 0 0
0.33 0 0
0.335 0 0
0.34 0 0
0.345 0 0
0.35 0 0
0.355 0 0
0.36 0 0
0.365 0 0
0.37 0 0
0.375 0 0
0.38 0 0
0.385 0 0
0.39 0 0
0.395 0 0
0.4 0 0
0.405 0 0
0.41 0 0
0.415 0 0
0.42 0 0
0.425 0 0
0.43 0 0
0.435 0 0
0.44 0 0
0.445 0 0
0.45 0 0
0.455 0 0
0.46 0 0
0.465 0 0
0.47 0 0
0.475 0 0
0.48 0 0
0.485 0 0
0.49 0 0
0.495 0 0
0.5 0 0
0.505 0 0
0.51 0 0
0.515 0 0
0.52 0 0
0.525 0 0
0.53 0 0
0.535 0 0
0.54 0 0
0.545 0 0
0.55 0 0
0.555 0 0
0.56 0 0
0.565 0 0
0.57 0 0
0.575 0 0
0.58 0 0
0.585 0 0
0.59 0 0
0.595 0 0
0.6 0 0
0.605 0 0
0.61 0 0
0.615 0 0
0.62 0 0
0.625 0 0
0.63 0 0
0.635 0 0
0.64 0 0
0.645 0 0
0.65 0 0
0.655 0 0
0.66 0 0
0.665 0 0
0.67 0 0
0.675 0 0
0.68 0 0
0.685 0 0
0.69 0 0
0.695 0 0
0.7 0 0
0.705 0 0
0.71 0 0
0.715 0 0
0.72 0 0
0.725 0 0
0.73 0 0
0.735 0 0
0.74 0 0
0.745 0 0
0.75 0 0
0.755 0 0
0.76 0 0
0.765 0 0
0.77 0 0
0.775 0 0
0.78 0 0
0.785 0 0
0.79 0 0
0.795 0 0
0.8 0 0
0.805 0 0
0.81 0 0
0.815 0 0
0.82 0 0
0.825 0 0
0.83 0 0
0.835 0 0
0.84 0 0
0.845 0 0
0.85 0 0
0.855 0 0
0.86 0 0
0.865 0 0
0.87 0 0
0.875 0 0
0.88 0 0
0.885 0 0
0.89 0 0
0.895 0 0
0.9 0 0
0.905 0 0
0.91 0 0
0.915 1.05801e-05 6.92627e-06
0.92 0.000198848 4.38661e-05
0.925 0.000999102 5.66679e-05
0.93 0.00394837 0.000104024
0.935 0.0133808 0.000232035
0.94 0.0405486 0.000332684
0.945 0.105249 0.000703852
0.95 0.242471 0.00148963
0.955 0.504143 0.00195938
0.96 0.947799 0.00281333
0.965 1.65073 0.00237118
0.97 2.6667 0.00697976
0.975 4.04216 0.008306
0.98 5.77159 0.00776248
0.985 7.86001 0.00784175
0.99 10.219 0.0149936
0.995 12.7879 0.0138242
1 15.4591 0.0153454
1.005 18.1129 0.0140407
1.01 20.6681 0.0140566
1.015 23.0697 0.0168994
1.02 25.1468 0.011017
1.025 26.9709 0.0123287
1.03 28.4121 0.0159432
1.035 29.5183 0.0191948
1.04 30.3131 0.0134701
1.045 30.7592 0.0149109
1.05 30.8939 0.0149287
1.055 30.7803 0.00737666
1.06 30.4348 0.0111005
1.065 29.8681 0.0109432
1.07 29.1497 0.0101971
1.075 28.3413 0.0133747
1.08 27.5314 0.0138432
1.085 26.7271 0.0126369
1.09 25.9052 0.0117576
1.095 25.1143 0.00654553
1.1 24.3232 0.0102324
1.105 23.5425 0.0105425
1.11 22.7739 0.0113584
1.115 22.0199 0.00941785
1.12 21.2673 0.00521029
